Bucear,To Scuba Dive
Marcar,To Mark Or Check
Medir,To Measure
Mejorar,To Improve
Mentir,To Lie
Merecer,To Deserve
Merendar,To Snack
Meter,To Put
Mezclar,To Mingle
Mirar,To Look
Mojar,To Get Wet
Molestar,To Bother
Montar,To Mopunt
Morir,To Die
Mostrar,To Show
Mover,To Move
Mudar(se),To Change (Move)
Nacer,To Be Born
Navegar,To Sail (Navigate)
Necesitar,To Need
Negar(se),To Deny/Decline
Nevar,To Snow
Notar,To Notice
Obedecer,To Obey
Obligar,To Force
Obtener,To Obtain
Ocurrir,To Happen
Odiar,To Hate
Ofender,To Offend
Ofrecer,To Offer
Oir,To Hear
Oler,To Smell
Olvidar(se),To Forget
Oponer(se),To Oppose (Object)
Ordenar,To Order
Organizar,To Organize
Pagar,To Pay
Parar,To Stall
Parecer(se),To Seem (Resemble)
Partir,To Leave
Pasar,To Spend (Pass)
Pasear,To Walk
Patinar,To Skate
Pedir,To Ask
Pegar,To Hit
Peinarse,To Comb One'S Hair
Pelearse,To Fight
Perder,To Lose
Perdonar,To Forgive
Permanecer,To Remain
Permitir,To Allow
Perseguir,To Pursue
Pertenecer,To Belong
Pesar,To Weigh
Pescar,To Fishing
Pintar,To Painting
Planchar,To Ironing
Plantar,To Planting
Poder,To Being Able (Can)
Poner(se),To Putting (Putting On)
Practicar,To Practice
Preferir,To Prefer
Preguntar,To Ask
Preparar(se),To Pepare
Presentarse,To Introduce Yourself
Probar(se),To Try/Test (Try On)
Prohibir,To Prohibit
Prometer,To Promise
Proponer,To Propose
Proteger,To Protect
Protestar,To Protest
Provocar,To Provoke
Publicar,To Publish
Quedar(se),To Meet (To Stay)
Quejarse,To Complain
Querer,To Want
Quitar,To Remove
Reaccionar,To React
Rechazar,To Reject
Recibir,To Receive
Reciclar,To Recycle
Recoger,To Collect
Reconocer,To Recognize
Recordar,To Remember
Reducir,To Reduce
Regalar,To Give
Reflexionar,To Reflect
Rega#241#ar,To Scold
Regar,To Water
Registrar,To Record
Regresar,To Return
Reinar,To Reign
Reir,To Laugh
Renovar,To Renew
Renunciar,To Renounse
Reparar,To Repair
Repasar,To Review
Reptir,To Repeat
Reservar,To Reserve
Resolver,To Resolve
Respetar,To Respect
Respirar,To Breathe
Responder,To Respond
Resultar,To Result In
Retrasar,To Delay
Rezar,To Pray
Robar,To Steal
Romper,To Break
Saber,To Know
Sacar,To Take Out
Salir,To Exit
Saltar,To Jump
Saludar,To Greet
Salvar,To Save
Secar(se),To Dry
Seguir,To Continue
Sentarse,To Feel
Sentir(se),To Sense
Se#241#alar,To Point Out
